Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
,,,,,"The word is applied to smaller members of the group, is an abbreviation of the German Seetang meaning ""seaweed"" 

If these fish feel threatened or stress, they develop a vertical white band on their bodies. 

They have razor-sharp scalpel at the base of their tails. They hides in the crevice, in the coral or rocks and anchor itself in using this scalpel.",
Zebrasoma flavescens,Yellow Tang,أسماك ذيل المبرد ( الجرّاح) الصفراء,Red Sea,البحر الأحمر,,"يطلق على أصغر أعضاء المجموعة كلمة من اللغة الألمانية بمعنى طحالب .

عندما تشعرهذه الأسماك بالتهديد أو التوتر، فإنها تُظهر شريط أبيض عمودى على أجسادها.

لديها مشرط حاد جداً عل قاعدة الذيل تستخدمه  كمرساة عندما تختبىء بين شقوق الصخور والشعاب."
,,,,,,
,,,,,,
,,,,,,
Paracanthurus hepatus,Blue clown Tang,أسماك المهرج الأزرق ذات ذيل المبرد,Indian Ocean,المحيط الهندى,"These fish also recognized as ""Dory"" in the movie ""Nemo"" 

Acanthurus is derived from the Greek word ""acantha"" which means thorn, and the Greek word ""oura"" which means tail.

The flesh of the blue tang is poisonous.","تعرف هذه السمكة بإسم (دورى) فى الفيلم الشهير (البحث عن نيمو)

إسمها الشائع مركب من كلمتين من اللغة اليونانية القديمة بمعنى الذيل الشائك.

أن لحم هذه السمكة سام."
,,,,,,
,,,,,,
,,,,,,
Amphiprion ocellaris,False Clown Fish,أسماك المهرج الزائف,Indian Ocean,المحيط الهندى,"These fish have a symbiotic relationship with sea anemones to provide habitats for them. 

False Clownfish have mucus layer  that provides protection from the anemone’s stinging cells.

The difference between false clownfish and clownfish, false clownfish often have much less black outlining their white strip, and clownfish on the other hand usually has thicker black stripes outlining the white stripes on their body.","يوجد علاقة تكافل بين هذه الأسماك وشقائق النعمان التى توفر المواطن الطبيعية لها.

يوجد طبقة مخاطية على أجسام هذه الأسماك تحميها من خلايا شقائق النعمان الاسعة.

الفرق بين أسماك المهرج الزائف وأسماك المهرج أن أسماك المهرج الزائف لديها عدة خطوط سوداء رفيعة تحدد شرائطها البيضاء أما أسماك المهرج لديها خطوط سوداء عريضة تحدد شرائطها البيضاء الموجودة على 

"
,,,,,,
,,,,,,
,,,,,,
Chelmon rostratus,Copperband Butterflyfish,أسماك الفراشة ذات الشرائط النحاسية,Indo-West Pacific, الهند -غرب المحيط الهادى,"They are closely related to angelfish. But the difference between the two is, butterflyfish mouth iss more pointed the angelfish.

These species of fish are ""diurnal"" meaning they are more active during the day and search for food and take rest at night. 

Conservation Status: 
They are now considered to be an endangered animal due to water pollution and habitat loss.","تعتبر هذه الأسماك شديدة القرابةلأسماك الملاك ولكن الفرق بينهما أن فم  هذه الأسماك مدبب أكثر من فم أسماك الملاك.

هذه الأنواع من الأسماك النهارية بمعنى أنها أكثر نشاطا أثناء النهار بحثاً عن الطعام بينما تخلد للراحة بالليل.

حالة المحافظة عليها :
تعتبر الآن من الأنواع المهددة بالانقراض بسبب تلوث المياه وفقدان الموطن.

"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
