Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR,Did You know? EN
Sphyrna tiburo,Bonnethead Shark,القرش ذو رأس الطاقية,"Tropical Eastern Pacific, Western North Atlantic, Caribbean, Amazonian."," المناطق الإستوائية الشرقية فى المحيط الهادى والغربية فى المحيط الأطلنطى, الكاريبى والأمازون","These sharks get their common name for their very unique “bonnet” shaped head, their eyes are located on the rounded lobes on the side of their flattened head.

This species observed some regulate actions for communication and that includes head shakes, back hunching, puffing out the gill pouches, jaw snapping, circling head-to tail, in lines of up to five Bonnethead following one another.  

Despite of their funny looking, their eyes are actually highly adapted to help them see in low light using a special organ called tapetum lucidum or “eyeshine”."," حصلت أسماك القرش هذه على إسمها الشائع من شكل رأسها الفريد الذى يشبه الطاقية ,تقع عيونها على فصوص دائرية على جانب رؤوسها المسطحة.

لوحظ ان هذا النوع لديه اساليب منظمة للتواصل تتضمن هز الرأس , إنحناء الظهر , النفخ من الجراب الخيشومى , عض الفك ووصل الرأس بالذيل فى خطوط يمكن لأن تصل إلى خمسة قروش يتبع بعضهم الآخر.

على الرغم من مظهرها الطريف فأن أعينها تمكنها من الرؤية فى الإضاءة المنخفضة بأستخدام عضو خاص يسمى العين البراقة.","These sharks get their common name for their very unique “bonnet” shaped head, their eyes are located on the rounded lobes on the side of their flattened head."
,,,,,,,
,,,,,,,
,,,,,,,
 Sphyraena,Barracuda,أسماك الباراكودا,"Atlantic Ocean, Red Sea and Caribbean Sea",المحيط الأطلسي والبحر الأحمر والبحر الكاريبي,"These fish have a very sharp, dagger-like teeth which prevent slipping of the prey from their mouth.

Barracuda can swim at the speed of 25 miles per hour. This feature is useful both for hunting and for escape from predators.

Their age can be determined by counting the rings on their scales and on their structure in the inner ear."," هذه الأسماك لديها أسنان حادة جدا تشبه الخنجرمما يمنع إنزلاق الفريسة من فمها.

 أسماك الباراكودا يمكن أن تسبح بسرعة 25 ميلا في الساعة. هذه الميزة مفيدة سواء للصيد أو الهروب من المفترسين.

يمكن تحديد عمرها عن طريق عد الحلقات الموجودة على قشورها وعلى هيكلها في الأذن الداخلية.","These fish have a very sharp, dagger-like teeth which prevent slipping of the prey from their mouth"
,,,,,,,
,,,,,,,
,,,,,,,
Anisotremus virginicus,Porkfish,أسماك لحم الخنزير,"Atlantic Ocean,Caribbean Sea and Gulf of Mexico",المحيط الأطلسي والبحر الكاريبي وخليج المكسيك,"The Porkfish has a deep body, a blunt snout, and thick lips. It maintains a higher dorsal profile than most grunts. 

Porkfish can produce grunt-like sounds using their teeth and swim bladder. These sounds seem to be particularly associated with situations when distress.

They are the only Caribbean grunt with two black vertical bars and yellow stripes"," سمكة لحم الخنزير لديها جسم متين , خطم حاد وشفاه غليظة. تتميز بأرتفاع الجانب الظهرى لديها.

يمكن لهذه السمكة أن تصدر اصوات من خلال اسنانها وكيس المثانة المائية عندما تكون فى محنة .

هو النوع الوحيد الذي يمتلك شوكتان سوداوان و خطوط صفراء. ","The Porkfish has a deep body, a blunt snout, and thick lips. It maintains a higher dorsal profile than most grunts."
,,,,,,,
,,,,,,,
,,,,,,,
 Selene vomer,Lookdown Fish,السمكة الناظرة لأسفل,"Canada, Uruguay, including Bermuda and the Gulf of Mexico.",كندا، أوروغواي، بما في ذلك برمودا وخليج المكسيك,"The Lookdown is best known for how thin it is, and its bright, shimmering blueish-silver scales which are highly reflective. 

When under stress, lookdowns will make grunt noises with their swim bladder and their teeth.

The metallic coloUr of this fish’s face can be used to confuse predators when these fish travel in schools.","هذه السمكة تشتهر بمظهرها الرقيق وبألوان قشورها الزرقاء الفضية المتلألئة التى تعكس الضوء بشدة.

يمكن لهذه السمكة أن تصدر اصوات من خلال اسنانها وكيس المثانة المائية عندما تشعر بالقلق.

يمكن لهذه الأسماك إستخادم لون وجهها المعدنى  عندما تتنقل فى مجموعات للتشويش على المفترسات .","The Lookdown is best known for how thin it is, and its bright, shimmering blueish-silver scales which are highly reflective."
,,,,,,,
,,,,,,,
,,,,,,,
