Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
Polypterus senegalus,Bichir,أسماك ذات الزعانف الكثيرة,Africa and Nile River,أفريقيا ونهر النيل,"Bicher have lung-like paired swim bladder and gills to help breathing.

They are sometimes called ""rope fish""

Their body are covered in thick, bone-like scales which along with their fleshy pectoral fins which give them a give prehistoric appearance.","هذه الأنواع لديها رئة مقترنة بمثانة السباحة والخياشيم للمساعدة على التنفس.

تسمى احياناً بسمكة الحبل.

تغطى جسمها قشور سميكة مثل العظام بجانب زعانفها الصدرية اللحمية جعلها تبدو كأنها من عصور ما قبل التاريخ."
,,,,,,
,,,,,,
,,,,,,
Hypostomus plecostomus,Plecostomus,أسماك السلور المصاص,South America,امريكا الجنوبية,"The are also called  suckermouth catfish because of their powerful  mouthparts which allow them to anchor on to rockwork and submerged wood even when  faced with a strong current.

This tropical fish belong to the armoured catfish familly because the head and upper body  are covered of scutes. 

The male will choose a  “cave” to breed in, and clean the sides  to attract the female into the cave. If the female attarct in by the male, she will deposit eggs on the side of the cave.","تسمى أسماك السلور ذو الفم الماص نظراً لأن فمها القوى الإمتصاص يسمح لها أن ترسو وتظل غاطسة حتى مع وجود تيارات مياه شديدة.

هذه الأسماك الاستوائية تنتمي إلى عائلة سمك السلور المدرعة لأن رأسها والجزء العلوى من الجسم مغطى بصفائح عظمية.

يقوم الذكر بإختيار كهف للتزاوج ويقوم بتنظيف جوانبه لإجتذاب الأنثى وعندما تنجذب الأنثى للذكر تقوم بوضع البيض فى احدى جوانب الكهف حيث يحرثه الذكر حتى يفقس."
,,,,,,
,,,,,,
,,,,,,
Syndontis eupterus,Featherfin Catfish,أسماك السلور ذو الزعانف الريشية,Africa,أفريقيا,"The name Featherfin derives from the feather-like extension on the dorsal fin. 

To differentiate between the male and female, the male is usually more slender, while the female is much more bulky.

They are opportunistics feeders, they eat whatever fits in their mouth."," الإسم الشائع مستوحى من امتداد يشبه الريش على الزعنفة الظهرية لهذا النوع.

للتمييز بين الذكور والإناث، عادة ما تكون الذكورأكثر نحافة من الإناث ضخمة الحجم.

أنها أسماك إنتهازية نهمة تتغذى على أى شىء يناسب حجم فمها."
,,,,,,
,,,,,,
,,,,,,
Syndontis multipunctatis,Cuckoo Catfish,أسماك السلور( الوقواق),Africa,أفريقيا,"Cuckoo catfish gets their common name from the cuckoo (bird). These fish have remarkable breeding behaviour because they carry  their young in their mouth. 

The female cuckoo catfish  will lay their eggs, the same place where other brooders fish lay their eggs. The other fish will scoop the eggs of catfish thinking that’s only her eggs until they are hatch.

This technique removes the burden of parental care from the cuckoo catfish and allows them to breed again sooner.","سميت بهذا الإسم نسبة إلى طيور الوقواق . هذه الأسماك لديها سلوك تربية ملحوظا لأنها تحمل صغارها في أفواهها.


تضع الأنثى بيضها فى نفس موضع بيض الأنواع الأخرى التى تقوم برعايته لسمكة الوقواق دون أن تعرف إلا عندما يفقس.

هذا الأسلوب يزيل عبء الرعاية الأبوية ويسمح لهم بالتكاثر ثانيتاً سريعاً .

"
,,,,,,
,,,,,,
,,,,,,
Hydrocynus vittatus,African Tigerfish,أسماك النمر الأفريقية,Africa,أفريقيا,"They are fierce and aggressive. They will form large schools and hunt in packs, eating anything alive. 

They have razor sharp knife-like teeth and extremely strong jaw muscles

These fish are among the few fish that can attack and eat prey the same or larger than themselves.","هى أسماك شرسة عدوانية تشكل مجموعات كبيرة تهاجم بجماعية وتستطيع اكل أى شىء حى.

لديها أسنان حادة تشبه السكين وعضلات الفك قوية للغاية.

هذه الأسماك هي من بين عدد قليل من الأسماك التي يمكن أن تهاجم وتأكل فريسة فى نفس حجمها أو أكبر."
