Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
Toxotes jaculatrix,Archer Fish,السمك الرامى,"India, Phillippines and Australia","استراليا ,الفلبين والهند.","They have the ability  to shoot a jet of water from their mouth by forming their tongue into a groove. 

They have a remarkable ability to compensate  for visual refraction through the surface of the water  when aiming their shots. 

Once the prey is knocked down, Archefish in the area will race to grab the meal, meaning the hunter may go hungry.","ان هذا النوع لديه القدرة على إطلاق نافورة من الماء من فمه بتحويل لسانه لشكل اخدود.

لديه مقدرة عجيبة على تصحيح معدل الإنكسار الضوئى خلال سطح الماء عندما تصوب الطلقات.

عند الإطاحة بالفريسة لأسفل يتسابق السمك الرامى للحصول على هذه الوجبة, ممايعنى أن الصياد ربما يمضى جائعاً."
,,,,,,
,,,,,,
,,,,,,
Carettochelys insculpta,Pignose Turtle,سلحفاة أنف الخنزير,Australia and New Guinea,استراليا وغينيا الجديدة,"The large pig nose snout helps the turtle  to feel the bottom of the rivers for food and its flipper-like front limbs are otherwise found only on sea turtle. 

This tutle is known to prefer the fruits of  figs, but will also feed on worms and crustaceans. 

The offsprings are temperature sex determined, with females developing in hot nests, and males developing in cool ones. If nest temperatures varies, hatchling sex will vary in that nest. 

Conservation Status: 
Vulnerable due to human consumption.","أنف هذه السلحفاة الكبير يساعدها على تحسس قيعان الأنهار بحثاً عن الطعام. أطرافها الأمامية تشبه الزعانف وهى ميزة توجد فقط فى السلاحف البحرية.

من المعروف عنها انها تفضل ثمار التين كطعام و لكنها تتغذى ايضاً على القشريات و الديدان .

تتحكم درجة حرارة العش فى تحديد نوع الجنين فدرجات الحرارة العلية تفرز إناث والمنخضة تفرز ذكور أما إذا كانت درجة حرارة العش متغيرة فإنه سوف يتنوع جنس الأجنة.

حالة المحافظة عليها:
معرضة للإنقراض بسب الإستهلاك الآدمى."
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Chelodina longicollis,Long Necked Turtle,السلحفاة ذات الرقبة الطويلة,South Australia,جنوب استراليا,"It has long neck that can be as long as its ""carapace"" top shell.

When feel threatened and to scare off predators they can discharged unpleasant smell fluid that comes from their “musky glands”.

They have large web feet to help them swim easier and strong claws to help them climb in the rocks.","لديها رقبة طويلة يمكن أن تكون بطول (الدرع) الصدفة العليا.

عندما تشعر بالتهديد ولكى تبعد المفترسات فإنها تفرز رائحة كريهة من الغدة العطرية.

لديها أرجل مكففة كبيرة تساعدها على السباحة بسهولة ومخالب قوية تساعدها على تسلق الصخور."
