Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
Parachromis managuensis,Guapote / Jaguar Cichlid,سمك البلطى الفهد,Central America,أمريكا الوسطى,"They can be found in many parts of the worrld. Most of them found  in African lakes

they are on the most diverse groups of fish on earth 

They are over 1,500 different species of cichlids and they make up about  5%  of all the vertebrate species","يتواجد هذا النوع بأنحاء عديدة من العالم ومعظمهم يوجد بأنهار افريقيا.

يعتبر من أكثر مجموعات السمك تنوعاً على وجه الأرض.

يوجد 1500 نوع من اسماك البلطى الذى يشكل 5% من جميع أنواع الفقاريات.

"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Astronotus ocellatus,Red Oscar Cichlid,أسماك البلطى الأحمر (أُسكار),Central America,أمريكا الوسطى,"They are also known as the Marble Cichlid or the Velvet Cichlid.

When the Red Oscar are fully grown they will consume anything they can fit into their mouths.

Red oscar will establish a territory and will defend it with other fish by chasing them away.","يعرف هذا النوع أيضاً بالبلطى الرخامى أو المخملى.

عنما يصبح هذا النوع كامل النمو يستطيع أكل أى شىء مناسب لحجم فمه.

ينشأ هذا النوع منطقته الخاصة ويدافع عنها ضد الأسماك الأخرى بطردهم بعيداً."
,,,,,,
,,,,,,
,,,,,,
Hypostomus plecostomus,Plecostomus,اسماك السلور ذو الفم الماص,South America,أمريكا الجنوبية,"The are also called  suckermouth catfish because of their powerful  mouthparts which allow them to anchor on to rockwork and submerged wood even when  faced with a strong current.

This tropical fish belong to the armoured catfish familly because the head and upper body  are covered of scutes. 

The male will choose a  “cave” to breed in, and clean the sides  to attract the female into the cave. If the female attarct in by the male, she will deposit eggs on the side of the cave, the male will then guard the eggs until they hatch.","سميت أسماك السلور ذو الفم الماص لقوة أجزاء فمها التى تسمح لها بالرسو على الصخور والبقاء مغمورة تحت الماء حتى عندما تواجه تياراً قوياً.

هذه الأسماك الاستوائية تنتمي إلى عائلة سمك السلور المدرعة لأن الرأس والجزء العلوي من الجسم مغطى بقشور قوية مثل الدرع.

يختار الذكر ( كهف) للتكاثر ثم ينظف جوانب الكهف لجذب الأنثى داخله .عندما تعجب الأنثى بالذكر فأنها تودع البيض على أحد جوانب الكهف ويقوم الذكر بحراسته إلى أن يفقس.

"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Cyphotilapia frontosa,Frontosa Cichlid,أسماك البلطى (فُرنتوزا),"Africa, and  Lake Tanganyika",أفريقيا، وبحيرة تنجانيكا,"To differentiate between males and females, the males have larger humps than females. 

The male will attract the female to a spawning site, and she will lay and incubate about 50 eggs. The female incubates the eggs in her mouth and tends them for about 30 days.

Once the female released the eggs, she will then take them back into her mouth at night if danger is present.","للتمييز بين الذكور والإناث تجد ان الذكور لديها حدب فى الرأس أكبر من الإناث.

يقوم الذكر بأثارة إعجاب الأنثى وجذبها لمكان وضع البيض وهى تقوم بعد ذلك بوضع وإحتضان حوالى 50 بيضة. تحتضن الأنثى البيض وترعاه فى فمها لمدة 30 يوماً.

عندما تطلق الأنثى سراح البيض, فإنها تعيده ثانية لفمها فى الليل فى حالة وجود أى خطر.
"
,,,,,,
,,,,,,
,,,,,,
Labidochromis caeruleus,Lemon Cichlid,أسماك البلطى الليمونى,Lake Tanganyika in Africa,وبحيرة تنجانيكا افريقيا,"These fish also known as 'eletric yellow cichlid'.

These fish are monogamous, meaning they have only one mating partner for their entire life. 

These fish gets its common name of ""Lemon Cichlid"" from its bright yellow appearance.","هذا النوع يعرف أيضاً بالبلطى الأصفر الكهربائى.

هذ النوع أُحادى الزواج أى أن كل ذكر أو أنثى يعيش مع شريك واحد مدى الحياة.

أُطلق على هذا النوع إسم البلطى الليمونى نظراً لمظهرهه الأصفر البراق."
,,,,,,
,,,,,,
,,,,,,
Amphilophus citrinellus,Midas Cichlid,البلطى الميداس,Central America,أمريكا الوسطى,"The Males develop a pronounced swelling known as ""nuchal hump"" on the head. 

The nuchal hump on the head increases in size when they are ready to breed, and the  females belly will increase in size because she may release more than 1,000 eggs. 

Both parents care for the young fry and aggressively defend the area from any other fish.","ينمى الذكر تورماً واضحاً يعرف ب(السنام القفوى) على الرأس.

يزداد السنام القفوى للذكر حجماً عندما يصل لمرحلة التكاثر وتزداد بطون الإناث حجماً لأنها ربما تضع أكثر من 1000 بيضة.

كلا من الأب والأم يهتمان بالصغار ويدافعان عن منطقتهما بشراسة ضد الأسماك الأخرى."
