Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
Hulithurian spp,Black Sea Cucumber,خيار البحر الأسود,Worlwide,في جميع أنحاء العالم,"They can vomit sticky out sticky threads from their stomach to entangle predators, and if this doesn’t work then they can vomit their internal organs. 

They don’t have brain, and their nervous system consist of a ring and this senses are poorly developed.

They are able for self-reproduction meaning they can produce offspring without partner by mixing with other sea cucumber.","يمكنها أن تتقيأ خيوطاً لزجة من معدتها لتربك المفترسات وإذا لم تنجح هذه الحيلة يمكنها أن تلفظ أحشائها الداخلية التى تنمو مجدداً.

ليس لديها مخ وجهازها العصبى يتكون من حلقة وحواسها ضعيفة التطور.

وهم قادرون على التكاثر الذاتي وهذا يعني أنها يمكن أن تنتج صغار بدون شريك ."
,,,,,,
,,,,,,
,,,,,,
Linckia laevigata,Blue Linckia Sea Star,نجمة البحر الزرقاء (لنكيا),Indian and Pacific Ocean,المحيط الهندى والهادى,"They are sensitive to touch, light and even with the water that surrounds them. 

Sea Stars are famous for their ability to regenerate limbs, and in some cases, entire bodies. 

Their nervous system is spread through their arms, and their “blood” is actually filtered sea water.","أنها حساسة للمس والضوء وحتى المياه التى تحيط بها.

نجوم البحر مشهورة  بقدرتها على تجديد أذرعها  وفى بعض الحالات كامل جسمها.

 ينتشر جهازها العصبى خلال أذرعها ودمها يتكون من مياه البحر المفلترة."
,,,,,,
,,,,,,
,,,,,,
Ophiuroidea,Red Knobbed Sea Star,نجمة البحر الحمراء ذات العُقّد البارزة,Worlwide,جميع أنحاء العالم,"They are belong with the echinoderm family means ""spiky"" 

Their eyes are on the end of each arms (eye spots) their eyes are not like human, they can sense only light and dark. 

They have the unique method of eating, they will actually vomit its stomach outside  of its body  then engulf and begin to digest the prey before it is pulled back inside of i.","أنها تنتمى لعائلة شائِكُ الجِلْد تعني ""شائك""

تقع عيونها على نهاية كل ذراع (بقع العين) وهذه العيون ليست كعيون البشر حيث يمكنها فقط الإحساس بالضوء والظلام.

لديها طريقة فريدة لتناول الطعام، حيث تتقيأ معدتها خارج جسمها لتبتلع الفريسة ثم تبدأ بهضمها قبل أن يتم سحبها للداخل."
,,,,,,
,,,,,,
,,,,,,
Linckia multiflora,Rose blotched Sea Star,نجمة البحر ذات البقع الوردية,New Caledonia and Easter Island; South China Sea,كاليدونيا الجديدة وجزيرة الفصح. بحر جنوب الصين,"In order to survive, hot and dry conditions for several hours a day, sea star skin contains a protective chemical compound. This compound formed  the basis of the sunscreen we use today. 

Some of the sea star can have 5 to 40 arms, once it cut it can regenerate or re growth to a new one. 

There is one species fo Sea Star called ""Crown-of-thorn"", they extrudes their stomach that used to inject to the corals to turn them into soup and suck it.","من أجل البقاء على قيد الحياة، فى ظل الظروف الحارة والجافة لعدة ساعات في اليوم، يحتوي جلد نجمة البحر على مركب كيميائي وقائي لحمايتها. هذا المركب تستخرج منه المادة الأساسية التى نستخدمها فى صنع المستحضرات الواقية من الشمس.

 يمكن لبعض من أنواع نجم البحر أن يكون لديها من خمسة إلى أربعين ذراعاً وبمجرد قطع أحدها يمكن أن يتجدد أو أن ينمو من جديد.

هناك نوع من نجم البحر يسمى ( شوكة التاج) يمكنه أن يبثق معدته على الشعاب المرجانية فيحولها إلى سائل ثم يمصه.


"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Dascyllus aruanus,Humbug Damsel,السمكة المخادعة,Asutralia,استراليا,"They are omnivorous, they eat plankton, benthic invertebrates and algae. 

These fish performs a courting dance by rapid up and down swimming movements. 

These fish are alson know as ""Three Striped Damselffish"" because of their three bold black bands in their bodies.","هذه الأسماك تتغذى على أنواع عديدة من الطعام مثل العوالق واللافقاريات القاعية والطحالب.

 تؤدى هذه الأسماك رقصة من أجل التودد عبارة عن حركات خاطفة صعوداً وهبوطاً.

تُعرف هذه الأسماك أيضاً ب( السمكة ذات الثلاثة شرائط) نظراً للشرائط السوداء العريضة الموجودة على جسمها.
"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Limulidae,Horse Shoe Crab,سرطان حدوة الحصان,Asutralia,استراليا,"They get their name from arc shaped shell that has been compared to the shape of a horse’s shoe. 

They are considered as one of the living fossils because these animals are been here around 230 million years . 

Despite of their common name, these animals are not crabs but they are related to scorpions and spiders.","سُميت بهذا الإسم لأن شكل صدفتها يشبه شكل حدوة الحصان.

ظهرت منذ حوالى 230 مليون سنة وهى تعتبر من الأحافير الحية.

على الرغم من إسمها الشائع , هذه الحيوانات أكثر قرابة من العقارب والعناكب عن السرطانات."
