Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
,,,,,,
Crocodylus porosus,Saltwater Crocodile,تمساح المياه المالحة,Australia,استراليا,"The Saltwater Crocodile is the largest of all living reptiles, and largest terrestrial predator in the world. It is an opportunistic hyper-carnivorous “apex” predator, capable of eating almost any animal that enters its territory.

They are the most inteligent reptile. In fact, they are more closely related to bird than some reptiles. They are the only families of reptiles that show true parental care. 

What is crocodile tears? Crocodile’s tears refer an insincere demonstration of grief or a false of emotion through pretend tears. It was thought that crocodiles would weep in order to lure in their prey, and even said shed a tear during or after eating.But it just the gland doing its job to filter out the excess salt through the eye of crocodile. 

They have four-chambered hearts. All other reptiles have only three.  The benefit for the crocodilian is that their blood gets pumped through their body quicker and more efficiently than other reptiles.

They have excellent sense of sight, hearing and smell. They have sensory pits (small, black speckles on their skin the equivalent of the lateral in fish) that respond to the slightest vibrations in the water.

Conservation Status: 
Saltwater Crocodile are considered one of the most threatened of all crocodilians. They are listed endangered in CITES 1 due to overhunting for meat, eggs and skin.","تمساح المياه المالحة هو أكبر الزواحف الحية وهو اكبر الحيوانات المفترسة الأرضية فى العالم. وهو مفترس آكل للحم إنتهازى نهم شرس يأتى على قمة سلسلة المفترسين لديه القدرة على إفتراس أى حيوان يدخل منطقته تقريباً.


تعتبر أكثر الزواحف ذكاءً فى الواقع هى أقرب صلة للطيور عن بعض الزواحف الأخرى. وهى العائلة الوحيدة من الزواحف التى تظهر رعاية أبوية حقيقية لصغارها.


ماهى دموع التماسيح؟ هى عبارة عن إظهار مشاعر حزن وعواطف غير صادقة من خلال دموع مصطنعة. ساد الإعتقاد بأن هذه التمسايح تذرف دمعاً من أجل جذب الفرائس وقيل أيضاً أنها تذرف الدمع خلال أو بعد الاكل و لكن في الواقع هى غدة تؤدي عملها لطرد الملح الزائد من خلال العين.

لديها اربع حجرات بالقلب متميزة بذلك عن بقية الزواحف التى لديها ثلاثة فقط وميزة هذه الحجرات أنها تضخ الدم فى الجسم بطريقة أسرع وأكثر كفاءة من الزواحف الأخرى.

لديها حاسة نظر ,سمع وشم ممتازة.لديها أيضاً بقع  تحسس سوداء على الجلد تعدل الخط الجانبى للأسماك التى تستجيب للأهتزازات البسيطة فى الماء.

حالة المحافظة علبها:
   تعتبر تماسيح المياه المالحة واحدة من أكثر الزواحف المهددة. تم إدراجها فى قائمة اتفاقية التجارة الدولية في الأنواع المهددة بالانقراض كنوع مهدد بالإنقراض نظراً لتعرضها للصيد الجائر من أجل جلودها ولحمها "
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Crocodylus porosus,Baby Saltwater Crocodile,صغار تمساح المياه المالحة,"Eastern India, Southest Asia and Australia",شرق الهند وجنوب شرق آسيا وأستراليا,"Temperature of the nest determines the gender of the baby crocs. If the temperature is 31o C, the gender of the baby will be develop into male, and if the temperature is below or above 31oCelcius it produce development of females. 

When the eggs begin to hatch, their vocalization can be heard from outside the nest? The mother open the nest and assists weaker young in hatching, then, young crocodiles live in small groups under adult supervision and protection for 8 months until they are less likely  to be eaten by predators. 

They use their egg tooth to come out on their shells.

Conservation Status: 
Less than 1% will reach maturity as the early years they are hunted by predation by turtles and in the juveniles by territorial males. 
In the wild the percentage of survivals is only 10% which is why the calling plays in important part in the hatching to ensure all the babies hatch at the same time to reduce the risk of predation."," أن درجة حرارة العش تتحكم فى تحديد نوع الجنين فإذاكانت درجة الحرارة 31 درجة مئوية فإن الجنين يكون ذكراً إن كانت درجة الحرارة أقل من 31 مئوية تكون الجنين أنثى.

عندما يحاول الصغار الخروج من البيض يمكن سماع أصواتهم من خارج العش عندئذ تبدأ الأم بفتح العش ومساعدة الصغار الضعفاء للخروج .يعيش صغار التمساح فى مجموعات صغيرة تحت إشراف وحماية الكبار لمدة 8 اشهر.

يستخدم الصغار أسنان  حادة خاصة موجودة أعلى الأنف للخروج من البيض.

حالة المحافظة علبها:

أقل من 1% من الصغار يمكنه أن يصل لمرحلة البلوغ حيث يتم إصطياد الصغار بضراوة من السلاحف وذكور التماسيح المهيمنة.

أقل من 10% هى نبسة الناجين فى البرية ولهذا السبب تلعب الأصوات التى يصدرها الصغار عندما تبدأ بالخروج من البيض دوراً مهماً لخروجها فى وقت واحد لتقليل نسبة إفتراسها."
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Trichoglossus haematodus,Rainbow Lorikeet,ببغاء قوس قزح الأسترالى,Australia,أستراليا,"They have eyeballs called ""bristles"" that protect the eyes from lying insects. 

Their only mainly diet consits of pollen nectar, seeds, insects and fruits. 

They are monogamous in nature, meaning they only have one mating partner for their entire life.","لديها مقلة عين مثل الشعر القصير الخشن تحمى عينها من الحشرات الطائرة.

غذائها الرئيسى يتكون من حبوب اللقاح ,رحيق الأزهار ,البذور , الحشرات والفواكه.

أنها أُحادية الزوج أو الزوجة ممايعنى انها تعيش مع شريك واحد مدى الحياة.
"
,,,,,,
,,,,,,
,,,,,,
Dacelo novaeguineae,Laughing Kookaburra,طائر الرفراف( الكوكابورا الضاحك),"Tasmania, Australia and New Guinea",أستراليا وغينيا الجديدة وتاسمانيا,"They make loud calls like echoing human laughter 

They sing as chorus to mark their territory.

They are the largest of the kingfisher family. They are very patient hunters and will sit for a long period of time to wait for an opportunity.","تصدر أصوات عالية مثل ضحكة الإنسان.

تغنى كمجموعة من المنشدين لتحديد المنطقة المسيطرة عليها.

هى الأكبر حجماً فى عائلة طيور الرفراف. تتميز بالصبر الشديد عندما تصطاد حتى أنها تنتظر ساعات طويلة للحصول على فرصة صيد."
,,,,,,
,,,,,,
,,,,,,
Erythrura gouldiae,Gouldian Finch,عصفور (قوس قزح),Northern Australia,جنوب أستراليا,"The Gouldian Finch is a social bird and often found in  large flocks. 

Individual  will either  have a black , yellow or red head feathers which  was orignally  thought to  distinguish them as different species.

The male display courtship action to the female by disarange his brightly coloured feathers and dancing in front of the female.

Conservation : 
The Gouldian Finch is under threat from habitat detruction resulting from forest fires and  human development. Habitat  modification  for livestock grazing  also affects the finch by reducing the availability of grass seeds, a staple in their diet.","عصفور قوس قزح طائر إجتماعى يعيش عادة فى مجموعات كبيرة.

يتميز كل عصفور ينتمى لهذا النوع بريش أسود, أصفر أو أحمر على الرأس وكان يٌعتقد أنها علامات تميزه عن بقية الأنواع الأخرى.

عندما يود الذكر التتود إلى الأنثى فأنه يجعل ريشه الملون البراق غير مهندم  ثم يقوم بالرقص أمام الأنثى.

حلة المحافظة عليه:
 عصفور قوس قزح من الأنواع المهددة بسب فقدان البيئة الطبيعية نتيجة لحرائق الغابات ,التنمية البشرية وتعديل الأراضى لتربية المواشى مما يؤثر سلبا

على عصفورقوس قزح عن طريق الحد من توافر بذور العشب، التى تعد عنصرا أساسيا في نظامهم الغذائي."
