Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
Macrocheira kaempferi,Giant Spider Crab,سرطان البحر العنكبوت العملاق,Japan,اليابان,"They can grow like a Volkswagen Car.

As scavengers, they will eat anything that may come across on the ocean floor including dead fish, squid and other crustaceans. 

Their legs can grow up to 4 metres.","يمكن لهذا النوع أن ينمو بحجم سيارة صغيرة.

يمكنها أكل أى شىء تجده فى المحيط وهذا يتضمن الأسماك الميتة والحبار والقشريات الأخرى. فهى بذلك تشبه جامع القمامة.

يمكن أن تنمو أرجلها إلى مايقرب من 4 أمتار."
,,,,,,
,,,,,,
,,,,,,
Cephaloscyllium ventriosum,Swellshark,سمك القرش المنتفخ,Western Pacific and Mexico,غرب المحيط الهادى والمكسيك,"This shark is very sociable with other sharks, and are commonly seen sleeping next to or top of one another

When they feel thereatened, it will bend its  body into a U-shape, grab its tail fin with its mouth in a large amount of water to double his size so it will be more difficult for predators to remove it from rocky crevices. 

When the threat passes, the swell shark makes a dog-like bark when expelling the air.","هذا النوع لديه سلوك إجتماعى مع اسماك القرش الأخرى وعادة ماتشاهده ينام بجوار أو فوق بعضه البعض.

عنما يشعر بالتهديد يقوم بثنى جسمه على شكل حدوة الحصان ويضع ذيله وزعانفه مع فمه بكمية كبيرة من المياه ليضاعف حجمه ويصبح من الصعب على المفترسين إزاحته من على الصخور.

عنما يزول الخطر ,يقوم القرش المنتفخ بإصدار صوت مثل نباح الكلب عند تفريغ الهواء.

"
,,,,,,
,,,,,,
,,,,,,
Hoplostethus atlanticus,Big Roughy Fish,السمك الكبير ذو القشور الخشنة,Pacific Ocean and Atlantic Ocean,المحيط الهادي والمحيط الأطلنطى,"They have deep-bodied bright red with large, rough scales hence they got their common name. 

These fish are also known as 'Slimehead"".

These fish have a slow growth rate,and low productivity.","أطلق عليها هذا الإسم نظراً لجسدها الممتلىء وقشورها الخشنة.

تعرف أيضاً بذات (الرأس المُخاطى).

هذه الأسماك لديها معدل نمو بطيء، وقابلية إنتاج منخفضة.

"
,,,,,,
,,,,,,
,,,,,,
Macroramphosus gracilis,Snipefish,السمكة المنقارية,"Pacific Ocean,Atlantic Ocean and Indian Ocean",المحيط الهادى والمحيط الأطلسي والمحيط الهندي,"These fish have long beak in the shape of a tube, with a small mouth with no teeth at the end.

They have large eyes that use to locate their prey. 

These fish belong to the family of seahorses, sea dragons, and pipefish.","هذا النوع لديه منقار طويل إسطوانى الشكل وفم صغير بدون أسنان فى آخره.

لديها عيون واسعة تساعدها على تحديد موقع فريستها.

ينتمى هذا النوع لعائلة حصان البحر, تنين البحر والأسماك الأنبوبية.
"
,,,,,,
,,,,,,
,,,,,,
Urticina piscivora,Sea Anemone,شقائق النعمان البحرية,All over the world,جميع أنحاء العالم,"The sea anemone has a mix of venom, including neurotoxins  that paralyzes prey. 

The mouth of the sea anemone  is located in the middle of the oral disc surrounded by tentacles. 

Some Sea Anemones can live up to 50 years or more.","تحمل شقائق النعمان مزيج من أنواع السم , منها نوعاً يؤثر على الأعصاب ويصيبها بالشلل.

يقع فم شقائق النعمان في منتصف القرص الفموي وتحيط به المجسات.

تستطيع بعض أنواع شقائق النعمان أن تعيش مايقرب من 50 عام أو أكثر.
"
,,,,,,
,,,,,,
,,,,,,
Cleidopus gloriamaris,Pineapple Fish,أسماك الأناناس,Western and Eastern Australia,شرق وغرب أستراليا,"These fish have strange light called ""bio-luminescent""  bacteria. This light organ is best seen at night as it is luminescent and they use it to attract small prey to its mouth to feed on. 

These fish get their common from their spiny yellow scales resembling like a pineapple.

These fish have a sharp scales to protect them from predators.","هذا النوع لديه خاصية غريبة تعرف (بالإضاءة الحيوية) ويمكن ملاحظتها جيداً بالليل عندما تشع السمكة أضواء لجذب فرائسها الضغيرة وأكلها.

أُطلق عليها هذا الإسم بسب قشورها الصفراء الخشنة التى تشبه قشور ثمرة الأناناس.

لديها قشور حادة لحمايتها من المفترسين."
