Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
Zebrasoma xanthurum,Purple Tang,أسماك ذيل المبرد البنفسجية,Red Sea,البحر الأحمر,"These fish spends daily seeking food, before finding a suitable cave where  it can shelter during the night. 

These Tang has a deep blue or purple with dark spots on the face, bright yellow pectoril fins and yellow caudal fin. 

They are also known as the Yellowtail Sailfin Tang, Yellowtail Surgeonfish, and the Blue Surgeonfish.","تبحث هذه الأسماك عن الطعام خلال النهار وعندما يحل الظلام تبدأ فى البحث عن كهف مناسب للحماية.

هذه الأسماك لديها لون أزرق غامق أو بنفسجى مع بقع داكنة على الوجة وزعانف صدرية وذيلية لامعة.

تعرف أيضاً بسمكة ذيل المبرد صفراء الذيل أو سمكة الجرّاح صفراء أو زرقاء الذيل."
,,,,,,
,,,,,,
,,,,,,
Acanthurus olivaceus,Orange Banded Surgeon Fish,أسماك الجرّاح ذو الشرائط البرتقالية,Indo Pacific Region,الهند والمحيط الهادى,"They have spine in the tail that is used for defense and are as sharp as a surgeon’s scalpel, hence the name “surgeonfish”.

These fish get their common name from their  bright orange band in the white portion of their body placed just behind each eye.","أن لديها اشوكة حادة مثل مشرط الجرّاحفي الذيل التي يتم استخدامها للدفاع وحادة مثل مشرط الجراح، ومن هنا جاء اسم ""السحل""

اكتسبت هذه الاسماك اسمها الشائع من اللون البرتقالي الزاهي في الجزء الابيض من اجسامها و الذي يوجد خلف الاعين. "
,,,,,,
,,,,,,
 Zebrasoma flavescens,Yellow Tang, أسماك (الجرّاح) ذيل المبرد الصفراء,Red Sea,البحر الأحمر,"The word is applied to smaller members of the group, is an abbreviation of the German Seetang meaning ""seaweed"" .

If these fish feel threatened or stress, they develop a vertical white band on their bodies.

They have razor-sharp scalpel at the base of their tails. They hides in the crevice, in the coral or rocks and anchor itself in using this scalpel.

","يطلق إسم ( الأعشاب البحرية) على أصغر الأسماك الموجودة فى المجموعة .

عندما تشعر هذه الأسماك بالتهديد أو القلق تقوم بإظهار شريط أبيض على جسمها.

لديها مشرط حاد على قاعدة ذيلها وهى تقوم بالإختباء فى الكهوف وبين صخور الشعاب مستخدمة ذلك المشرط لتثبيت نفسها."
,,,,,,
,,,,,,
,,,,,,
 Paracanthurus hepatus,Blue clown Tang, أسماك (الجرّاح) ذيل المبرد الزرقاء,Indian Ocean,المحيط الهندى,"These fish also recognized as ""Dory"" in the movie ""Nemo"" .

Acanthurus is derived from the Greek word ""acantha"" which means thorn, and the Greek word ""oura"" which means tail.

The flesh of the blue tang is poisonous","تعرف هذه السمكة بإسم ( دورى ) فى فيلم البحث عن ( نيمو )

يتكون إسم هذه السمكة من كلمتين يونانيتين قديمتين تعنى (سَن) و ( ذيل )

لحم هذه السمكة سام."
,,,,,,
,,,,,,
,,,,,,
Pseudanthias squamipinnis,Lyre Tail Anthias, أسماك (الجرّاح) ذيل المبرد الزرقاء,Indo-Pacific,المحيطين الهندي والهادى,"These fish are hermaprodites  means if the dominate male dies, the largest female on the group will develop into male. 

To identify between males and females, females have yellow tip on the spine tipped dorsal fins. 

These fish spends most of their time around the coral.  They are zooplakton feeders.","أن هذا النوع من الأسماك مزدوج الجنس بمعنى أنه إذا مات الذكر المهيمن فإن اكبر الإناث حجماً تتحول إلى ذكر وتتولى المسئولية.

لتميز الإناث عن الذكور , لدى الإناث بقعة صفراء تغطى الزعنفة الظهرية.

تقضى هذه الأسماك معظم وقتها فى السباحة حول الشعاب المرجانية وتتغذى على العوالق البحرية."
,,,,,,
,,,,,,
,,,,,,
 Zoanthus ,Zoanthids,شقائق النعمان,All around the world,جميع أنحاء العالم,"Some zoanthids contain powerful toxins to protect themselves against predators. The toxic can paralyse and even kill. 

Most zoanthids feed on plankton, some also feed on finer particles.

The poison extracted from a zoanthid, has been used to better understand how our body works and may provide better treatment of hypertension, heart disease and other disorders.","بعض هذه الأنواع تحمل سُم قوى يصيب بالشلل واحياناً الموت لحمايتها من المفترسات.

أن معظم هذه الأنواع يتغذى على العوالق البحرية وبعضها يتغذى على الجسيمات الدقيقة.

السُم المستخلص من هذا النوع إسُتخدم للحصول على فهم أفضل لكيفية عمل أجسامنا ويمكن لهذا السُم أن يوفر لنا علاج أفضل لأمراض القلب وإرتفاع ضغط الدم وبعض الإضطرابات الأخرى."
,,,,,,
,,,,,,
,,,,,,
