Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
Atractosteus spatula,Aligator Gar,خرمان القاطور,North America,امريكا الجنوبية,"They are often found basking near the surface of the water. They can do this because their buoyancy bladder (an organ controlling how high or low they are situated in the water) 

It is directly connected to their throat giving them the ability  to ""breathe in"" dry air. 

Alligator Gar is is a voracious and aggressive predator

This is the largest of all Garfish.","فى أحيان كثيرة وجُدت هذه الأسماك  تتشمس بالقرب من سطح الماء.تستطيع فعل ذلك بواسطة كيس يمتلىء بالهواء ويساعدهم على الطفو( عضو يتحكم فى أرتفاع أو إنخفاض السمكة فى الماء)

 وهو متصل مباشرة بالحلق مما يعطيهم القدرة على تنفس الهواء الحُر.

تعتبر أسماك خرمان القاطور أسماك نهمة ومفترسات عدوانية

هذه الأسماك هى الأكبر حجماً بين كل أسماك الخرمان


"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Litoria caerulea,Whites Tree Frog,ضفدع الشجر وايت,"Australia, Indonesia,New Guinea","استراليا, أندونسيا وغينيا الجديدة","Whites Tree Frog communciate  with chirping calls. They vocalize locate and attract other frogs and will also call out when they feel threatened. 

They have the suction cups on their feet help them to climb smooth surfaces with little effort. 

These frog are also called Smilling  tree or Dumpt Tree Frog. The older frog form  fat layers above their neck which is where the ""dumpy""  name orignated from.","سُميت هذه الضفادع بأسم مُكتشفها (جون وايت) . تتواصل ضفادع الشجر وايت عن طريق النقيق. تستعمل نداءات لتحديد المكان ولجذب الضفادع الأخرى وعند الشعور بالتهديد أيضاً.

لديهم زوائد إلتصاق بأقدامهم تساعدهم على تسلق الأسطح الملساء بقليل من الجهد.

تسمى هذه الضفادع أيضاً بضفدع الشجرالمبتسم والقصير البدين. تصنع الضفادع الأكبر سناً طبقات من الدهون أعلى الرقبة ومن هنا نشأ اسمها ""القصير البدين"".
"
,,,,,,
,,,,,,
,,,,,,
Chelus fimbriata,Mata Mata,ماتا ماتا,South America,أمريكا الجنوبية,"They are well known for their ability to blend in with their surroundings. 

The head is triangular  and flattened, mimicking the shape of a leaf, while their carapace  (upper shell) resembles a piece of bark . 

Mata Matas have a long enough neck  to act as a ""snorkel' . By lifting their  pointy mouth out of the water  while the body remains under the surface.

They are able to breathe  while  remaining fully submerged.","هذه السلاحف مشهورة بقدرتها على التمويه والاندماج مع البيئة المحيطة بها.

لديها رأس مسطح مثلث الشكل يشبه ورقة الشجربينما الدرع (الصدفة العليا) تشبه قطعة من اللحاء.

الماتاماتا لديها رقبة طويلة تعمل كأنبوب تنفس للغطس من خلال رفع أفواهها المدببة خارج الماء بينما أجسادها لاتزال تحت الماء.

لديها القدرة على التنفس عندما تكون مغمورة تماماً بالماء ."
