Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
Aonyx cinerea,Asian Small Clawed Otters,ثعلب الماء الآسيوى ذو الكف الصغير,"India, Malaysia, South China and Philippines",الهند، ماليزيا وجنوب الصين والفلبين,"The otters are one of the only mammals able to use their paws like human use their hands. Do you know that the small clawed otters have a clever way of eating clams?  

They will lay the clams in the river bank to dry it under the sun, when the clams open they take the meat from inside.

Otters communicate with sound. They have 12 distinct sounds that they use for communication, mating and “here I am calls” and for making sure they don’t get lost from one another.

So if you hear a high pitched scream like a baby’s voice, it’s probably one of the otters calling the other for help.

These otters will spray an area with urine to ""scent"" their territory. They will then constantly patrol the area and defend it from intruders. An Otter's scent is as individual as a fingerprint. 

We teach them here a husbandry behaviour  to voluntarily cooperate in husbandry or medical procedures like blood draw, taking weights, length, and even brushing their teeth. Animal training is significant in giving the best care for the Animals. 

The Dubai Aquarium curatorial staffs have been working with the animals every day, providing them food, 
keeping their home clean and monitor their physical and mental health / well-being. 

They started training the animals the day they arrived in their new home.

Conservation

These semi-aquatic mammals are now Vulnerable species due to pollution,destruction of their habitat comes from cutting down the trees for development.","ثعالب الماء هي واحدة من الثدييات الوحيدة القادرة على استخدام كفوفها  مثلما يستخدم البشر أيديهم. هل تعرف أن ثعالب الماء ذو الكف الصغير لديها وسيلة ذكية لأكل المحار؟

تقوم بوضع المحار على ضفة النهر تحت الشمس لكى تُفتح عندما تجف تستطيع اخذ اللحم منها.

تتواصل ثعالب الماء عن طريق 12 صوت مختلف ومنها أصوات للتزاوج وأصوات للدلالة على مكان وجودها للتاْكد من أنها لن تضيع من بعضها البعض،  

 إما إذا كنت تسمع صرخة عالية النبرة مثل صرخة الطفل فهو على الأرجح واحد من ثعالب الماء يدعو الآخر للمساعدة.

تقوم ثعالب الماء برش بولها فى منطقة نفوذها حتى تجعل لها رائحة مميزة وهى تقوم بدوريات مستمرة فى منطقتها للدفاع عنها ضد الدخلاء.ورائحة ثعلب الماء متفردة عن الآخر مثل بصمة إصبع الإنسان.

نحن نعلمهم هنا سلوكاً تربوياً للتعاون طوعاً فى تنمية السلوك التربوى او الفحص الطبى مثل سحب الدم ,قياس الطول والأوزان إلى تنظيف أسنانهم, يعتبر تدريب الحيوانات بوابة مهمة لإعطائهم أفضل رعاية.

يعمل موظفوا دبى اكواريوم المختصين مع الحيوانات يومياً , يعدون لهم الطعام ,يحافظون على نظافة مساكنهم ويراقبون سلوكهم البدنى والعقلى وقد بد

وقد بدأوا بتدريب الحيوانات في نفس يوم وصولهم لموطنهم الجديد.

حالة المحافظة عليها 
نتيجة لقطع الأشجار والتلوث بسبب الزراعة وفقدان الموطن. اصبحت هذه الثدييات البرمائية مهددة بالإنقراض.
"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Physignathus cocincinu,Chinese Water Dragon,تنين الماء الصينى,"China to Indo-China and lives within Thailand, Vietnam, Cambodia, Laos, Burma, and in southern China.","الصين إلى الهند الصينة, تايلاند، فيتنام، كمبوديا، لاوس، بورما.","The tongue is use to catch and hold their prey and their teeth are small and pointed.

They have shiny spot at the top of the head between their eyes is known as the pineal or the third eye.

This pineal eye helps the water dragon to sense the differences in light and use it as well to thermoregulate by helping them to decide to basking spot. 

The males shows a territorial behavour  during breeding season, by bobbing their heads, doing push-ups , inflating their throat and waving their arms.","أنها تستخدم اللسان للقبض على الفرائس ولديها أسنان قصيرة مدببة.

لديها بقعة لامعة في الجزء العلوي من الرأس بين عيناها تعرف بالعين الصنوبرية أو العين الثالثة.

هذه العين الصنوبرية تساعد تنين المياه لاستشعار الاختلافات في الضوء ويسخدمها كذلك لتنظيم درجة حرارة الجسم

خلال موسم التكاثر يُظهر الذكور سلوكاً مهيمناً بواسطة هز الرأس , حركات مثل تمارين الدفع ونفخ الحلق بالهواء والتلويح بالذرع."
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Iguana iguana,Green Iguana,سحلية الإجوانا الخضراء,South America,امريكا الجنوبية,"Green Iguana have an amazing ability to camouflage. They have good sense  of hearing, smell and superb vision.  They are able to see shapes, shadows, colour and movement at long distances. 

Their long tail is quite sharp  and it snapped in the air as a defence mechanism. 

Male green iguanas skin have a special flap of skin called dewlap. They can raise their dewlap to appear bigger than they really are, either to intemidate predators, or to impress females.","الإجوانا الخضراء لديها حاسة سمع وشم جيدة وحاسة بصر ممتازة. لديها القدرة على الأشكال ,الظلال ,الألوان والتحركات من مسافات بعيدة.

ذيلها الطويل حاد جداً تستخدمه كآلية للدفاع.

ذكر الإجوانا لديه طرف متدلِ على الرقبة يسمى اللغد. ويمكنة أن يرفع هذا اللغد ليبدو أكبر حجماً مما هو عليه وذلك لإثارة إعجاب الإناث أو لإخافة الحيوانات المفترسة."
,,,,,,
,,,,,,
,,,,,,
