Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
,,,,,,
Hapalochleana lunulata,Blue Ringed Octopus,الأخطبوط ذو الحلقات الزرقاء,Australia,أستراليا,"Don’t let their small, golf ball size fool you.  They have enough venom to kill 26 grown adults and there is no antidote. 

These octopus doesn’t release ink like other species of octopus but their bite contains a toxin that can paralyze the whole body. 

Blue Ringed Octopus have a colouration range from grey to beige with large, light brown patches. When feeling threatened, they will display bright blue rings all over their body, hence the origin of their common name. 

Conservation: 
Blue Ringed Octopus are thought to be threatened due to the effects of habitat loss however they are not currently listed on the IUCN (International Union of Conservation of Nature) Red List of Threatened Species.","لاتدع حجمها الصغير مثل كرة الجولف يخدعك فهى لديها  من السٌم ما يكفى لقتل 26 شخص بالغ وهذا السُم لايوجد له ترياق.

هذا الأخطبوط لايطلق الحبر مثل باقى أنواع الأخطبوط الأخرى ولكن عضته على سُم يمكنه إصابة كامل الجسم بالشلل.

الأخطبوط ذو الحلقات الزرقاء لديه ألوان مختلفة مثل الرمادى والأبيض القاتم مع بقع كبيرة بلون بنى فاتح. عندما تشعر بالخطر تقوم بإظهار حلقات زرقاء لامعة على أجسامها ومن هنا حصلت على إسمها الشائع.

حالة المحافظة عليها :
يُعتقد أن الأخطبوط ذو الحلقات الزرقاء من الأنواع المهددة نظراً لفقدان الموطن وعلى الرغم من ذلك لم يتم إدراجه فى القائمة الحمراء للأنواع المهددة بالإنقراض فى الإتحاد الدولى للمحافظة على الطبيعة. "
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Sepia bandensis,Dwarf Cuttlefish,الحبار القزم,Philippines and Indonesia,الفلبين وإندونيسيا,"Because of their ability to change colour, texture and pattern, they are sometimes called “chameleons of the sea.” 

 They have a specialized shell used for buoyancy, called a ‘cuttlebone.’  

These cousins of the octopus have eight arms and an additional two tentacles with denticulate suckers that help them to secure their prey.","تسمى فى بعض الأحيان حرباء البحر لقدرتها على تغير لونها وملمسها والرسوم الموجودة على جسمها.

لديها صدفة مُخصصة لتساعدها على الطفو فى الماء تسمى عظم الحبار.

تعتبر من أبناء عمومة الأخطبوط ولديها ثمانية أذرع ومجسان إضافيان مع ماصات مسننة لتساعدها على إحكام قبضتها على الفريسة."
,,,,,,
,,,,,,
,,,,,,
Metasepia pfefferi,Flamboyant Cuttlefish,الحبار المتوهج,"Indo-Pacific, Australia, Malaysia and Philippines",المحيطين الهندي والهادى واستراليا وماليزيا والفلبين,"The cuttlefish has three separate hearts: one for the body, and two brachial hearts that pump blood to each gill.

They have poisonous flesh which is believed to be as lethal as the venom of the blue-ringed octopus. 

This species of cuttlefish tends to walk along the bottom using their tentacles and modified flaps under their body, on the mantle.","ان الحبار لديه ثلاثة قلوب : واحد للجسم و إثنين مساعدين لضخ الدم لكل خيشوم.

لحم الحبار المتوهج سام ويعتقد أن سُمه قاتل مثل سُم الأخطبوط ذو الدوائر الزرقاء.

يميل هذا النوع إلى المشى فى القيعان مستخدماً مجساته وأعضاء شبيهة بالأجنحة المتحورة أسفل الجسم."
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Octopus filosus,Caribbean Two-Spot octopus,الأخطبوط الكاريبى ذو النقطتين,Throughout the Caribbean,منطقة الكاريبى,"They are able to lose an arm to escape a predator’s grasp and regrow it later 

When fleeing from a predator, an octopus will squirt a cloud of ink into the water. The ink contains a substance that dulls a predator’s sense of smell. 

Octopus move by crawling or swimming but jet propulsion is their fastest means of moving from one place to another, followed by swimming and walking using their arms.","لديها القدرة على ترك إحدى ذراعيها فى قبضة المفترس للهروب منه ويمكن لهذا الذراع المقطوع أن ينمو مجدداً.

عندما تشعر بإقتراب المفترسات ,تطلق سحابة من الحبر فى الماء. يحتوى هذا الحبر على مواد تعمل على تعطيل حاسة الشم لدى المفترسات.

يتحرك الأخطبوط عن طريق الزحف والسباحة ولكن الدفع النفاث هو أسرع وسيلة الانتقال من مكان إلى آخر، تليها السباحة والزحف بإستخدام الأذرع. "
,,,,,,
,,,,,,
,,,,,,
Wunderpus photogenicus,Wonderpus Octopus,خطبوط وندربوس,"Bali, Sulawesi, Philippines and east to Vanuatu",بالي، جزيرة سولاويزي والفلبين وشرق فانواتو,"The Wonderpus is often confused with the Mimic octopus due to their similar patterns of white spots and white bands.  

They have the ability to drop an arm when attacked, allowing them to escape the grasp of a predator.  The octopus will regenerate a new arm in its place. 

These Octopus have a unique way to catch prey, expanding a web, attached to their arms to form an “umbrella” over their target.  They can then easily pull the prey towards their mouth.","عادة مايتم الخلط بين أخطبوط وندربوس والأخطبوط المٌقلد لأنهما يحملان نقاط وشرائط بيضاء شبيهة ببعضها.

لديها القدرة على ترك إحدى ذراعيها فى قبضة المفترس للهروب منه ويمكن لهذا الذراع المقطوع أن ينمو مجدداً.

هذا الأخطبوط لديه وسيلة فريدة من نوعها للقبض على الفريسة، فهو يقوم بتوسيع شبكة معلقة على أذرعه لتشكيل ""مظلة"" على هدفه. ويمكنه بعد ذلك سحب الفريسة بسهولة نحو فمه.

"
,,,,,,
,,,,,,
,,,,,,
