Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
,,,,,,
Balantiocheilos melanopterus,Tricolor Shark minnow,قرش المِنْوَة ثلاثى الألوان,"Mekong and Chao Phraya River basins, Borneo, Malay Peninsula and  Sumatra, Asia","حوض أنهار الميكونج ,تشاو , فرايا,بورنيو,شبه جزيرة الملايو, سومطره وآسيا.","The Shark minnow name comes from their torpedo shaped body and large fins.  These fish however, are not in fact true sharks.

They secrete a slimy mucous from their skin that provides protection against parasites and infection.  This protective coating also helps them to move faster through the water.

They are commonly called silver sharks because of their appearance and the shape of their dorsal fin.","يطلق عليها أسم القرش مجازاً بسب جسمه الذى يشبه شكل الطوربيد ولكنه ليس من أسماك القرش فى الواقع.

تفرز هذه الأسماك مخاط أو وحل السمك من جلدها لحمايتها من الطفيليات والعدوى وتساعدهم على السباحة بشكل أسرع فى الماء.

يطلق عليها عادة اسم القرش الفضى نظراً لمظهرها وشكل الزعنفة الظهرية."
,,,,,,
,,,,,,
,,,,,,
Melanotaenia,Assorted Rainbowfish,أسماك قوس قزح المتنوعة,New Guinea,غينيا الجديدة,"As their name suggests, these fish get their common name from their colourful scales. 

The Juvenile Rainbowfish are dull in appearance.  Their colour develops as they mature.

If you keep several males together, they will become more colourful as they compete for the female’s attention!","كما يوحى اسمها, حصلت هذه الأسماك على اسمها الشائع عن طريق قشورها الغنية بالألوان.

صغار هذه الأسماك باهتة المظهر ولكن ألوانها تزدهر عند البلوغ.

اذا وضعت مجموعة من الذكور معاً فأنها تصبح أكثر توهجاً بالألوان كأنهم يتنافسون لجذب إنتباه الإناث."
,,,,,,
,,,,,,
,,,,,,
Poecilia spp,Molly,سمكة مولى,Central America,أمريكا الوسطى,"These fish have the ability  to live in  both  fresh and saltwater. 

They display a form of contentment by rocking gently back and forth in the same spot - a behaviour known as shimmying.

Unlike other species of fish, female mollies don't lay eggs.  They give birth, laying up to 100 fry.","هذه السمكة تستطيع العيش فى المياة العذبة والمالحة.

تُعبر عن عن سعادتها بالتأرجح ذهاباًوعودة فى نفس المكان. هذا السلوك يُعرف بالإهتزاز.

على عكس الأنواع الأخرى من الأسماك , تلد هذه السمكة بدلاً من وضع البيض .يمكنها أن تلد قُرابة 100 من الصغار."
,,,,,,
,,,,,,
,,,,,,
Chromobotia macracanthus,Clown Loach,سمكة المهرج الممدود,South East Asia,جنوب شرق آسيا,"They have barbels around their mouth that they use when searching for food. 

When threatened, they will raise their spines, making themselves more difficult for a predator to swallow. 

They often stay in caves when stressed and can be seen swimming in a groups, often found lying on top of eachother when resting.","لديها أجهزة إستشعارية حول فمها تساعدها فى البحث عن الطعام.

عندما تشعر بالتهديد , ترفع أشواكها لأعلى , لتجعل عملية بلعها غاية فى الصعوبة للمفترسين.

غالبا ما تبقى فى الكهوف عنما تشعر بالقلق وهى تسبح فى مجموعات وعندما تشعر بالأمان تستلقى الواحدة فوق الأخرى للراحة.

"
,,,,,,
,,,,,,
,,,,,,
Puntius tetrazona,Tiger Barb,سمكة النمر ذو الشوكة,South East Asia,جنوب شرق آسيا,"They are known to be ferocious and dominant predators with other small fish. 

These species of barb have the same similar looks to its two closest relatives, the black ruby barb and the five-banded barb.

These fish are highly social and often see them in a large groups. They like to form in a group escpecilly if the fish with them have the same pattern.","
يعرف عنها أنها سمكة مفترسة شرسة ومسيطرة على الأسماك الصغيرة الأخرى.

هذا النوع من الاسماك يشبه سمكة بارب الاسود و سمكة الشوكة ذات الخمس نقاط واللاتي ينتمين الى نفس الفصيلة .

يعرف عن هذه الأسماك أنها إجتماعية جدا وعادة مانراها فى مجموعات كبيرة وتحب ان تنخرط فى مجموعات خاصة مع الأسماك التى لديها نفس النمط."
