Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
Trachemys scripta,Red Eared Slider Terrapin,سلحفاة المياه العذبة ذات الأُذن الحمراء,United States and Mexico,الولايات المتحدة والمكسيك,"The red stripe on this turtle isn't actually on it's ear in fact it's ears are just slits on it's head!

They need water to swallow their food. 

They don’t have gills but they can hold their breath for an hour when awake, and for about 5  hours when they asleep.","أن الشريط الأحمر الموجود على هذه السلحفاة لايقع حقيقة على أُذنها التى هى عبارة عن شقوق تقع فى الرأس.

تحتاج للمياه لكى تبلع الطعام.

لايوجد لديها خياشيم ولكنها تستطيع كتم أنفاسها تحت الماء لمدة ساعة عندما تكون مستيقظة ولمدة خمس ساعات عندما تكون نائمة.
"
,,,,,,
,,,,,,
,,,,,,
Nomorphamphus liemi,Celebes Halfbeak,سمكة النصف منقار ( سيليبز),"Atlantic, Indian and Pacific oceans.","المحيط الهادى , الهندى والأطلسى","They are the largest freshwater halfbeaks. 

They get their common name from their lower jaw that curls under their head. 

To identify between male and female , the male are more colourful than female.","أنها أكبر الأسماك النصف منقارية فى المياه العذبة.

حصلت على إسمها الشائع من شكل الفك السفلى الملتوى أسفل الرأس.

للتفريق بين الذكر والأنثى , يملك الذكر ألواناً أكثر غنى وحيوية من الأنثى.
"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Puntius denisonii,Torpedo Barb,أسماك الطوربيد ذات الشوكة,"Atlantic, Indian and Pacific oceans.","المحيط الهادى , الهندى والأطلسى","They get their common name from their long body shaped like-torpedo.  

They have a pair of barbels to search for their food. 

They are fast swimmers, and well known to jump out of the water to avoid the predators.","حصلت هذه الأسماك على غسمها الشائع بسبب إسمها الطويل الذى يشبه الطوربيد.

لديها زوج من الحدائد فى الفم للبحث عن الطعام.

أنها مشهورة بالقفز خارج المياه للهرب من الأعداء كما أنها تسبح بسرعة كبيرة.
"
,,,,,,
,,,,,,
,,,,,,
Chalceus macrolepidotus,Pinktail Chalceus / Pinktail Shark,أسماك القرش ذات الذيل الوردى,South America,امريكا الجنوبية,"Pintail Chalceus got its name from their pink or red in its back tail fin. 

They have a pair of barbels to search for their food. 

They are fast swimmers, and well known to jump out of the water to avoid the predators.","حصلت على إسمها الشائع بسبب لون ذيلها الوردى أو لون زعنفتها الذيلية الأحمر.

لديها زوج من الحدائد فى الفم للبحث عن الطعام.

تتميز بسرعة السباحة ويمكنها القفز خارج المياه للهروب من المفترسيين.
"
