Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
Carcharias taurus,Sand Tiger Shark,القرش النمر الرملي,Tropical warm water,المياه الإستوائية الدفيئة,"The shark's skin is made up of small structure or  modified scales called dermal denticles. They all point  towards the tail, and help reduce friction in the water when the shark is swimming. 

Sharks have lateral line system in order to capture prey. The lateral line allows them to sense vibrations in the water. They have also electro receptors to detect eletric fields given off by the prey that may not be noticed through other senses. 

Fossil records indicate that they have been around for over 400 million years, making them older than dinasours."," يتكون جلد هذه القروش من بنية صغيرة أو قشور معدلة تسمى بثور جلدية تتجه جميعها نحو الذيل وتساعد فى تقليل مقاومة الماء عند السباحة.

أسماك القرش لديها نظام الخط الجانبي من أجل القبض على الفريسة. الخط الجانبي يتيح لهم الشعور بالاهتزازات في الماء. لديها أيضا مستقبلات كهربائية للكشف عن المجالات الكهربائية المنبعثة من الفريسة التي ربما لايمكن ملاحظتها بواسطة الحواس الأخرى.

تشير السجلات الأحفورية إلى أن اسماك القرش موجودة منذ أكثر من 400 مليون سنة، مما يجعلها أقدم من الديناصورات.

"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 Nebrius ferrugineus,Tawny Nurse Shark,القرش الأصحر ماص الطعام,Indo-Pacific Ocean,المحيط الهندي والمحيط الهادى,"They get their common name from their  behaviour of sucking their food like a baby. 

These sharks have 2 barbels around their mouth to detect their prey. 

This is generally harmless docile shark that is primarily nocturnal but maybe active during the day and feeds on a variert of bottom dwelling  invertebrates and small fish including crustaceans and sea urchin.","أنها حصلت على إسمها الشائع من طريقة مصها للطعام مثل الطفل الرضيع.

هذه القروش لديها إسطواناتان حول الفم لإكتشاف فرائسها.

هذه القروش عامة غير مؤذية سهلة الإنقياد وهى كائنات ليلية بالمقام الأول ولكنها ربما تنشط خلال النهار تتغذى على مجموعة متنوعة من سكان القيعان من اللافقاريات مثل القشريات الصغيرة وقنفذ البحر."
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Stegostoma fasciatum,Zebra Shark,قرش الحمار الوحشى,Indo-Pacific Ocean,المحيط الهندي والمحيط الهادى,"Zebra Shark gots its namefrom their spots; when they are juveniles, they have spot on their body that are similar to what zebra has.

They are two prominent ridges along the length of the body, and the impressive tail is longer than the body itself. 

Their mouths and teeths are designed for crushing hard shells.","حصلت اسماك القرش هذه على اسمها الشائع من البقع الموجودة على جسمها التى تشبه خطوط الحمار الوحشى فى الصغر.

يوجد نتوئان بارزان على طول الجسم ولديها ذيل مثير للإعجاب اطول من جسمها.

أن فمها وأسنانها صممت لسحق المحار."
,,,,,,
,,,,,,
,,,,,,
Aetobatus narinari,Spotted Eagle Ray, أسماك الشِفنين ( الراى ) النسر المٌنقط,Tropical and warm temperate  water  worldwide, المياه الاستوائية والدافئة في جميع أنحاء العالم.,"These fish gets their common name from their head-shaped like eagle. 

Rays have strong plates that line their powerful jaws. 

Their nostrils are large and well-developed to detect chemical changes in the water.","حصلت هذه الأسماك على إسمها الشائع من شكل رأسها الذى يشبه رأس النسر.

أسماك الشِفنين لديها صفائح عظمية قوية تبطن فكها القوى.

أن لديها فتحتى أنف كبيرتان ومتطورتان للكشف عن التغيرات الكيميائية في الماء.
"
,,,,,,
,,,,,,
,,,,,,
Orectolobidae,Wobbegong Shark,أسماك قرش السِجاد,Pacific Ocean and Indian Ocean,المحيط الهادي والمحيط الهندي,"They are alson known as Carpet Shark because of their pattern in their bodies. 

These shark are bottom dwelling, they spend most of their time in the bottom of the sea. 

They have barbells around their mouth to detect their prey.","تعرف هذه الأسماك بقرش السِجاد بسب الرسومات الموجودة على جسمها.

أنها تقضى معظم وقتها فى قيعان البحار لأنها من سكان القيعان.

لديها زوائد استشعار حول الفم للكشف عن فرائسها."
,,,,,,
,,,,,,
,,,,,,
Orectolobidae,Giant Trevally,,Pacific Ocean and Indian Ocean,المحيط الهادي والمحيط الهندي,"It is the largestis of its family, adults can reach  170 cm and a weight of 60 kg.

These shark are bottom dwelling, they spend most of their time in the bottom of the sea. 

Its flesh can contain some as toxins as Ciguatera which causes sickness to humans.","أسماك البياض العملاقة هى الأكبر حجماً فى عائلة البياض حيث يمكن للبالغ منها أن يصل وزنهإ إلى 60 كجم ومايقرب من 1.7 أمتار كطول أقصى.

لديها تروس مثل الصفائح  الصغيرة الحادة على طول الجزىء الخلفى للجسم منحدرة إلى الذيل. يمكنها أن تحدث ألم بالغ فيتوجب  الحذر عند إمساكها.

من الممكن أن تحتوى لحوم أسماك البياض العملاقة على بعض السموم مثل ( السيغاتيرا ) التى تجعل الإنسان يصاب بالمرض الشديد.
"
,,,,,,
,,,,,,
,,,,,,
